id_res,id_usuario,id_videojuego,veredicto,titulo,texto
1,9,126.0,negativo,Muy Malo,Este juego viene directamente de Mordor
2,9,6036.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Nooo el juego
3,9,26758.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
4,10,74.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",No entiendo el motivo por el cual no han sacado una nueva entrega aún
5,11,11208.0,negativo,Em... tenía final el juego?,Más malo que la pizza helada
6,12,74.0,positivo,Me encantaría saber si tiene una secuela,"Me encantó, nada más que decir"
7,22,1384.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",Me recuerda cuando era joven
8,22,2031.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
9,22,9730.0,positivo,El mejor Juego del Mundo,Ahhhh... un manjarsh
10,23,375.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,No entiendo el motivo por el cual no han sacado una nueva entrega aún
11,23,6036.0,negativo,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%
12,27,493.0,positivo,Vine buscando cobre y encontré oro,No entiendo el motivo por el cual no han sacado una nueva entrega aún
13,38,74.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Nooo el juego
14,40,20.0,negativo,Parace una broma que existe un juego como este,No logré comprender la idea del juego
15,40,230.0,negativo,Es más malo que malini,Muy facil y muy caro para las horas efectivas de juego
16,40,498.0,negativo,Peor que no ir vestido de traje a un bar,Este juego viene directamente de Mordor
17,40,549.0,negativo,Parace una broma que existe un juego como este,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
18,40,9730.0,positivo,"Si este juego fuera One Piece, me vería los 1000 episodios","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
19,40,26758.0,negativo,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
20,41,1074.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,La dificultad es terriblemente alta
21,45,1068.0,positivo,"Si este juego fuera One Piece, me vería los 1000 episodios",Me recuerda cuando era joven
22,47,74.0,positivo,Me encantaría saber si tiene una secuela,"Consistente, repleto de contenido, soprendentemente bueno"
23,47,7334.0,negativo,Es más malo que malini,La dificultad es terriblemente alta
24,54,74.0,negativo,No sé como logró subir por los 9 círculos del infierno este juego,Cómo arruinar tu vida en 1 simple paso: compra este juego
25,54,239.0,positivo,El mejor Juego del Mundo,Interesante
26,54,549.0,positivo,Es el guaripolo de los videojuegos,"Consistente, repleto de contenido, soprendentemente bueno"
27,54,731.0,positivo,Vine buscando cobre y encontré oro,No puedo creer que no haya jugado esto antes
28,54,17000.0,positivo,Horas de diversión,"Me acabo de echar 3 ramos, pero valió la pena"
29,64,1068.0,positivo,Pero que ofertón,A mi hijo le encanta
30,64,11208.0,negativo,Em... tenía final el juego?,Este juego viene directamente de Mordor
31,74,731.0,positivo,"No decepciona, incluso sorprende",No puedo creer que no haya jugado esto antes
32,77,493.0,positivo,Me soprende que no tenga más premios,"Consistente, repleto de contenido, soprendentemente bueno"
33,77,9630.0,positivo,Me soprende que no tenga más premios,Horas de diversión para amigos y familia
34,77,9730.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Más malo que la pizza helada
35,78,2031.0,negativo,"No es malo, no, es malísimo",No logré comprender la idea del juego
36,79,74.0,negativo,Muy Malo,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
37,79,239.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,Terriblemente malo
38,80,74.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
39,87,1068.0,negativo,No entiendo por qué no regalan este juego,Muy malo
40,89,20.0,negativo,No entiendo por qué no regalan este juego,Nooo el juego
41,89,498.0,positivo,Increíble nada más que decir,"Consistente, repleto de contenido, soprendentemente bueno"
42,89,1068.0,negativo,Peor juego,Honestamente prefiero jugar a mirar el techo
43,89,5503.0,positivo,Es el guaripolo de los videojuegos,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género"
44,89,9630.0,negativo,Es más malo que malini,Peor que mis laboratorios con margen de error del 1000%
45,90,2031.0,negativo,Es más malo que malini,La dificultad es terriblemente alta
46,91,2031.0,negativo,Peor juego,No logré comprender la idea del juego
47,93,549.0,negativo,Peor que no ir vestido de traje a un bar,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
48,94,74.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
49,95,2031.0,positivo,Mejor juego o mejor juego,Mejor que manjarate
50,96,230.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Peor que mis laboratorios con margen de error del 1000%
51,96,239.0,negativo,Muy Malo,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
52,96,17000.0,negativo,Em... tenía final el juego?,Honestamente prefiero jugar a mirar el techo
53,97,126.0,positivo,Mejor juego o mejor juego,A mi hijo le encanta
54,97,230.0,negativo,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,Muy malo
55,97,375.0,negativo,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,Cómo arruinar tu vida en 1 simple paso: compra este juego
56,97,17000.0,positivo,Vine buscando cobre y encontré oro,Horas de diversión para amigos y familia
57,97,26758.0,negativo,No entiendo por qué no regalan este juego,Peor que mis laboratorios con margen de error del 1000%
58,99,18.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,Ideal para la pandemia
59,99,76.0,negativo,Pensar que me entusiasmó en un principio...,Terriblemente malo
60,99,126.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,Peor que mis laboratorios con margen de error del 1000%
61,99,1384.0,positivo,"No decepciona, incluso sorprende",A mi hijo le encanta
62,99,2031.0,positivo,"No decepciona, incluso sorprende",Horas de diversión para amigos y familia
63,99,5503.0,positivo,Fantabuloso,No entiendo el motivo por el cual no han sacado una nueva entrega aún
64,99,17000.0,positivo,"No decepciona, incluso sorprende",Muy Entretenido
65,100,74.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
66,101,9730.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,Peor que mis laboratorios con margen de error del 1000%
67,102,2.0,negativo,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
68,102,49.0,negativo,Este juego viene directamente de Mordor,Cómo arruinar tu vida en 1 simple paso: compra este juego
69,102,74.0,negativo,Peor juego,Peor que mis laboratorios con margen de error del 1000%
70,102,1068.0,negativo,Es más malo que malini,Más malo que la pizza helada
71,102,2031.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
72,102,7334.0,positivo,"No decepciona, incluso sorprende",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
73,102,26758.0,positivo,"No decepciona, incluso sorprende",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
74,103,7334.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,La dificultad es terriblemente alta
75,104,20.0,negativo,Se podrá solicitar la devolución del tiempo perdido en este juego?,Este juego viene directamente de Mordor
76,104,126.0,negativo,"No es malo, no, es malísimo",Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
77,104,498.0,positivo,Me soprende que no tenga más premios,Muy Entretenido
78,105,731.0,positivo,Horas de diversión,Mejor que manjarate
79,105,1074.0,negativo,Peor que no ir vestido de traje a un bar,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
80,106,74.0,positivo,"No decepciona, incluso sorprende","Me acabo de echar 3 ramos, pero valió la pena"
81,106,493.0,negativo,Em... tenía final el juego?,Más malo que la pizza helada
82,106,1384.0,negativo,Parace una broma que existe un juego como este,Más malo que la pizza helada
83,107,18.0,negativo,Parace una broma que existe un juego como este,Más malo que la pizza helada
84,107,74.0,positivo,Mejor juego o mejor juego,El problema es que este juego No puede ser mejor
85,107,731.0,positivo,Es el guaripolo de los videojuegos,"Me encantó, nada más que decir"
86,107,1068.0,negativo,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%
87,107,1070.0,negativo,No entiendo por qué no regalan este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
88,107,1384.0,positivo,"No decepciona, incluso sorprende","Consistente, repleto de contenido, soprendentemente bueno"
89,107,17000.0,negativo,tiempo y dinero tirados a la basura,Terriblemente malo
90,108,20.0,positivo,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor
91,108,239.0,positivo,Vine buscando cobre y encontré oro,Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición
92,109,76.0,positivo,Buena inversión,Muy Entretenido
93,109,1384.0,negativo,No entiendo por qué no regalan este juego,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
94,110,230.0,positivo,"No decepciona, incluso sorprende",Horas de diversión para amigos y familia
95,110,375.0,positivo,Es el guaripolo de los videojuegos,Ahhhh... un manjarsh
96,110,493.0,positivo,Buena inversión,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género"
97,110,549.0,positivo,"No me calza el precio con la calidad del juego, debería costar mucho más",Horas de diversión para amigos y familia
98,110,9630.0,positivo,Buena inversión,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes"
99,111,6036.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,El problema es que este juego No puede ser mejor
100,112,76.0,negativo,Parace una broma que existe un juego como este,Cómo arruinar tu vida en 1 simple paso: compra este juego
101,112,498.0,negativo,No sé como logró subir por los 9 círculos del infierno este juego,Cómo arruinar tu vida en 1 simple paso: compra este juego
102,112,1068.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Más malo que la pizza helada
103,112,9630.0,negativo,Es más malo que malini,La dificultad es terriblemente alta
104,112,11208.0,negativo,"No es malo, no, es malísimo",Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
105,115,126.0,positivo,Me encantaría saber si tiene una secuela,"Me acabo de echar 3 ramos, pero valió la pena"
106,115,1384.0,negativo,Peor juego,Honestamente prefiero jugar a mirar el techo
107,115,11208.0,negativo,No entiendo por qué no regalan este juego,No logré comprender la idea del juego
108,116,20.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh
109,116,76.0,negativo,No sé como logró subir por los 9 círculos del infierno este juego,No logré comprender la idea del juego
110,116,731.0,negativo,Em... tenía final el juego?,Peor que mis laboratorios con margen de error del 1000%
111,116,1070.0,positivo,Fantabuloso,A mi hijo le encanta
112,116,9730.0,negativo,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%
113,118,18.0,positivo,Horas de diversión,No puedo creer que no haya jugado esto antes
114,119,2031.0,positivo,"No decepciona, incluso sorprende","Consistente, repleto de contenido, soprendentemente bueno"
115,120,493.0,positivo,Mejor juego o mejor juego,Interesante
116,120,2031.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
117,120,6036.0,negativo,tiempo y dinero tirados a la basura,Más malo que la pizza helada
118,122,549.0,negativo,No sé como logró subir por los 9 círculos del infierno este juego,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
119,122,1070.0,negativo,Em... tenía final el juego?,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
120,122,9630.0,negativo,Es más malo que malini,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
121,122,11208.0,negativo,Muy Malo,Más malo que la pizza helada
122,123,1068.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,Me recuerda cuando era joven
123,123,2031.0,negativo,Em... tenía final el juego?,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
124,124,2031.0,negativo,Pensar que me entusiasmó en un principio...,Terriblemente malo
125,124,7334.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,"Me acabo de echar 3 ramos, pero valió la pena"
126,125,18.0,positivo,Más bueno que el pan con chancho,Interesante
127,125,74.0,positivo,Es el guaripolo de los videojuegos,"Me acabo de echar 3 ramos, pero valió la pena"
128,125,1070.0,negativo,tiempo y dinero tirados a la basura,Peor que mis laboratorios con margen de error del 1000%
129,125,2031.0,positivo,Increíble nada más que decir,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
130,125,5503.0,positivo,Horas de diversión,El problema es que este juego No puede ser mejor
131,125,7334.0,positivo,Increíble nada más que decir,Interesante
132,125,9730.0,positivo,Pero que ofertón,Mejor que manjarate
133,125,26758.0,negativo,Peor que no ir vestido de traje a un bar,Terriblemente malo
134,126,1074.0,positivo,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor
135,126,2031.0,negativo,Em... tenía final el juego?,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
136,127,498.0,negativo,Peor que no ir vestido de traje a un bar,Muy malo
137,127,26758.0,negativo,Muy Malo,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
138,128,7334.0,negativo,Pensar que me entusiasmó en un principio...,No logré comprender la idea del juego
139,129,1068.0,positivo,Horas de diversión,No sabría que decir al respecto
140,129,2031.0,positivo,Fantabuloso,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes"
141,130,2031.0,negativo,Em... tenía final el juego?,Terriblemente malo
142,131,74.0,positivo,Pero que ofertón,"Consistente, repleto de contenido, soprendentemente bueno"
143,131,1068.0,positivo,El mejor Juego del Mundo,Ahhhh... un manjarsh
144,131,2031.0,positivo,Más bueno que el pan con chancho,No puedo creer que no haya jugado esto antes
145,132,2031.0,positivo,Me encantaría saber si tiene una secuela,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
146,133,230.0,negativo,Em... tenía final el juego?,Terriblemente malo
147,133,2031.0,negativo,Peor juego,La dificultad es terriblemente alta
148,134,2031.0,negativo,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
149,135,1068.0,negativo,No entiendo por qué no regalan este juego,Este juego viene directamente de Mordor
150,137,2031.0,negativo,Em... tenía final el juego?,No logré comprender la idea del juego
151,139,74.0,negativo,Parace una broma que existe un juego como este,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
152,141,74.0,negativo,Muy Malo,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego
153,142,1074.0,positivo,Pero que ofertón,"Nunca es muy tarde para decirlo, me arrepiento de no haber probado este juego antes"
154,143,18.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Honestamente prefiero jugar a mirar el techo
155,143,74.0,positivo,"No decepciona, incluso sorprende","Me encantó, nada más que decir"
156,143,1074.0,positivo,Increíble nada más que decir,Muy Entretenido
157,145,239.0,positivo,Buena inversión,Ideal para la pandemia
158,145,5503.0,positivo,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh
159,146,74.0,positivo,Mejor juego o mejor juego,Ideal para la pandemia
160,146,76.0,negativo,Peor juego,Más malo que la pizza helada
161,146,375.0,negativo,Y pensar que me perdí la boda de mi hija por este juego,Muy facil y muy caro para las horas efectivas de juego
162,146,1070.0,negativo,Peor juego,La dificultad es terriblemente alta
163,146,5503.0,negativo,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar"
164,147,74.0,negativo,Peor juego,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta"
165,148,239.0,positivo,Más bueno que el pan con chancho,Horas de diversión para amigos y familia
166,148,375.0,negativo,Peor juego,Muy malo
167,148,2031.0,negativo,No entiendo por qué no regalan este juego,No logré comprender la idea del juego
168,150,1068.0,positivo,"Si este juego fuera One Piece, me vería los 1000 episodios","Consistente, repleto de contenido, soprendentemente bueno"
169,150,6036.0,positivo,Vine buscando cobre y encontré oro,"Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene"
